iter	RMSE
0	0.4863647064
1	0.4676798429
2	0.4505499908
3	0.4334866925
4	0.4187158742
5	0.4028137641
6	0.3878599615
7	0.3733295993
8	0.3604500015
9	0.3480307115
10	0.3366467646
11	0.3250917999
12	0.3125520378
13	0.3022813207
14	0.2927797434
15	0.2831610267
16	0.273368362
17	0.2653618604
18	0.2570886521
19	0.2484612456
20	0.2402872219
21	0.2323948851
22	0.225026939
23	0.2175658362
24	0.2108958359
25	0.2044128623
26	0.1983295072
27	0.1919492265
28	0.1860669019
29	0.1803146111
30	0.1752355895
31	0.1699051537
32	0.1650035239
33	0.1601854437
34	0.155441725
35	0.1511273203
36	0.1469937332
37	0.1433527681
38	0.1391667518
39	0.135784141
40	0.1319246038
41	0.1284531664
42	0.1252067146
43	0.1221839513
44	0.118982793
45	0.116315272
46	0.1137494724
47	0.1108539009
48	0.108333151
49	0.1057627124
50	0.1030081106
51	0.100495121
52	0.09829806292
53	0.09654916682
54	0.09460847716
55	0.09278562689
56	0.09103030877
57	0.08902888136
58	0.08691729992
59	0.0852411065
60	0.08352793381
61	0.08197598876
62	0.08035905341
63	0.07896487137
64	0.07770842186
65	0.07622155836
66	0.0745636946
67	0.07317919818
68	0.07172678678
69	0.07023317521
70	0.06879311713
71	0.06730853396
72	0.06612789432
73	0.0647372346
74	0.06371072433
75	0.06261498278
76	0.06159089786
77	0.06034536937
78	0.05933838839
79	0.05831768421
80	0.05705431594
81	0.05619637691
82	0.05546403662
83	0.05468050665
84	0.05389399058
85	0.05307859485
86	0.05234763081
87	0.05151699277
88	0.05061222668
89	0.04988226953
90	0.04913832872
91	0.04829890915
92	0.04759643721
93	0.04687996181
94	0.04623162607
95	0.0456225766
96	0.04514343161
97	0.04458685057
98	0.04398539877
99	0.04339386977
100	0.04290366248
101	0.04242674254
102	0.04183511757
103	0.04133903053
104	0.04085536564
105	0.04039141226
106	0.03991700759
107	0.03947987365
108	0.03898477397
109	0.03860579296
110	0.03820578005
111	0.03784556624
112	0.03741260517
113	0.03703996927
114	0.03668151229
115	0.0363228393
116	0.03596533631
117	0.03563515334
118	0.03532979247
119	0.03507027082
120	0.03469771679
121	0.03436368966
122	0.03410237428
123	0.03386431481
124	0.03352191063
125	0.03323050701
126	0.03299424873
127	0.03271948357
128	0.03244696267
129	0.03214745956
130	0.03185046074
131	0.0314999805
132	0.03126653115
133	0.03099464474
134	0.03079222939
135	0.0306009541
136	0.03034947951
137	0.03010895832
138	0.02978523005
139	0.02962419847
140	0.02945512504
141	0.02913497852
142	0.02890015801
143	0.0287693216
144	0.02855350063
145	0.02831250565
146	0.02812006289
147	0.02793518046
148	0.02768992805
